summary_date,total_orders,total_quantity,total_revenue
2025-01-01,1,,1875.11
2025-01-02,1,,1018.03
2025-01-03,1,,1922.38
2025-01-04,1,,1852.40
2025-01-05,1,,878.38
2025-01-06,1,,652.08
2025-01-07,1,,1719.60
2025-01-08,1,,1800.90
2025-01-09,1,,1315.53
2025-01-10,1,,1758.79
2025-01-11,1,,1825.55
2025-01-12,1,,1451.70
2025-01-13,1,,1482.19
2025-01-14,1,,910.00
2025-01-15,1,,1698.08
2025-01-16,1,,1661.89
2025-01-17,1,,1097.60
2025-01-18,1,,1699.56
2025-01-19,1,,1764.45
2025-01-20,1,,992.94
2025-01-21,1,,598.76
2025-01-22,1,,525.30
2025-01-23,1,,609.77
2025-01-24,1,,1345.17
2025-01-25,1,,1921.97
2025-01-26,1,,1765.05
2025-01-27,1,,755.24
2025-01-28,1,,1931.78
2025-01-29,1,,1284.17
2025-01-30,1,,1033.71
2025-01-31,1,,1565.39
2025-02-01,1,,591.66
2025-02-02,1,,748.45
2025-02-03,1,,783.70
2025-02-04,1,,1646.31
2025-02-05,1,,588.62
2025-02-06,1,,1756.45
2025-02-07,1,,1878.01
2025-02-08,1,,1936.57
2025-02-09,1,,1364.89
2025-02-10,1,,1263.53
2025-02-11,1,,1108.30
2025-02-12,1,,1236.90
2025-02-13,1,,777.78
2025-02-14,1,,1696.66
2025-02-15,1,,1602.35
2025-02-16,1,,1046.22
2025-02-17,1,,848.78
2025-02-18,1,,1599.82
2025-02-19,1,,1813.60
2025-02-20,1,,554.07
2025-02-21,1,,1788.27
2025-02-22,1,,863.60
2025-02-23,1,,924.17
2025-02-24,1,,1164.48
2025-02-25,1,,524.95
2025-02-26,1,,1190.60
2025-02-27,1,,773.05
2025-02-28,1,,1179.93
2025-03-01,1,,926.64
2025-03-02,1,,576.92
2025-03-03,1,,1067.57
2025-03-04,1,,1373.92
2025-03-05,1,,1461.22
2025-03-06,1,,548.40
2025-03-07,1,,869.90
2025-03-08,1,,1439.31
2025-03-09,1,,1082.78
2025-03-10,1,,1339.71
2025-03-11,1,,1918.61
2025-03-12,1,,1266.42
2025-03-13,1,,827.65
2025-03-14,1,,1265.90
2025-03-15,1,,984.19
2025-03-16,1,,753.00
2025-03-17,1,,1968.69
2025-03-18,1,,712.42
2025-03-19,1,,1403.58
2025-03-20,1,,1921.46
2025-03-21,1,,572.09
2025-03-22,15,47.0,1132.49
2025-03-23,12,36.0,913.59
2025-03-24,8,25.0,952.28
2025-03-25,13,35.0,928.47
2025-03-26,6,23.0,596.18
2025-03-27,6,12.0,357.76
2025-03-28,13,39.0,1220.71
2025-03-29,40,113.0,3339.80
2025-03-30,16,37.0,1389.79
2025-03-31,10,32.0,959.19
2025-04-01,6,20.0,581.64
2025-04-02,16,45.0,979.49
2025-04-03,28,91.0,2402.80
2025-04-04,13,38.0,1185.15
2025-04-05,10,29.0,1046.38
2025-04-06,7,31.0,854.57
2025-04-07,8,28.0,1066.65
2025-04-08,5,13.0,417.79
2025-04-09,35,112.0,3411.77
2025-04-10,7,17.0,419.39
2025-04-11,36,125.0,3790.67
2025-04-12,7,23.0,791.08
2025-04-13,6,17.0,483.21
2025-04-14,6,18.0,672.63
2025-04-20,5,16.0,683.13
